train_loss,epoch,step,val_loss
6.330218704367169,0,49,
3.912531512966178,0,99,
5.655910526118481,0,149,
1.783968281262584,0,199,
1.9763935214783115,0,249,
,0,249,1.8138257885985691
4.197015956588871,1,299,
3.9859307578142107,1,349,
0.7670610027229645,1,399,
1.4666879223536875,1,449,
1.3028171041816798,1,499,
,1,499,0.22308723692383256
0.6545802217583785,2,549,
0.3151251831218853,2,599,
0.8310688102319186,2,649,
-0.5773859004127124,2,699,
0.3140429910820406,2,749,
,2,749,10.175091339494713
0.5248630503001039,3,799,
-0.4396010136515214,3,849,
-0.5740546364263897,3,899,
-0.16017911637830373,3,949,
-0.3301367222563796,3,999,
,3,999,4.917396562466779
-0.05655446658455476,4,1049,
1.0677525418295257,4,1099,
-1.0322779988990833,4,1149,
-0.6006938115074432,4,1199,
-0.7460434954562807,4,1249,
,4,1249,1.1076826437146639
-0.5947717208255909,5,1299,
-0.7143705216221243,5,1349,
-1.0017573827776773,5,1399,
-0.3418617832232913,5,1449,
-0.971294278885311,5,1499,
,5,1499,2.081954480254707
1.0446754132204403,6,1549,
0.9783932601709853,6,1599,
-0.24615890739948343,6,1649,
-0.266809508637492,6,1699,
-0.7806940604348573,6,1749,
,6,1749,3.547164533846807
