train_loss,epoch,step,val_loss
-1.2897446124941792,0,49,
-1.6691560365926137,0,99,
-1.806466435842981,0,149,
-1.838863304159824,0,199,
-1.7462938886482933,0,249,
,0,249,-1.6465567513265846
-2.0093281652338812,1,299,
-1.7777364646731941,1,349,
-1.9837820484549205,1,399,
-1.8997775397243295,1,449,
-1.8734294425472606,1,499,
,1,499,-1.6047669407936744
-2.0505890258044253,2,549,
-1.6350018806003146,2,599,
-2.0332933325955516,2,649,
-1.9326253094370043,2,699,
-1.9623059065491804,2,749,
,2,749,-1.9918313263914293
-1.9667105540288057,3,799,
-2.000083375092112,3,849,
-1.9242619389165063,3,899,
-1.9971434336234235,3,949,
-1.9907952321421076,3,999,
,3,999,-1.8187972691129746
-1.9385179275814077,4,1049,
-1.9967066714811772,4,1099,
-2.021585060013016,4,1149,
-2.0935379699388035,4,1199,
-2.1369765979046926,4,1249,
,4,1249,-1.9270245556487393
-1.9977828300605371,5,1299,
-1.676980956233097,5,1349,
-2.075999430381363,5,1399,
-1.9686685895308946,5,1449,
-1.9349056582114588,5,1499,
,5,1499,-1.7687789602009225
-2.188982992351818,6,1549,
-1.8118034711853768,6,1599,
-2.116112116478623,6,1649,
-2.129785180078301,6,1699,
-2.0115017867976075,6,1749,
,6,1749,-1.6603503771702415
-1.9921459088732623,7,1799,
-1.9963107335566492,7,1849,
-2.1860867325907525,7,1899,
-2.1881080579223986,7,1949,
-1.695901087505551,7,1999,
,7,1999,-1.8763087436053234
