val_loss,epoch,step,train_loss
1.2216306808936948,0,6,
1.9577435374199081,1,13,
0.3070124456746616,2,20,
0.3216179767153083,3,27,
0.01844509391303758,4,34,
0.1062154337049811,5,41,
0.0463293825043594,6,48,
,7,49,0.045923792225754045
0.009373162882756726,7,55,
0.007075469741562532,8,62,
0.006203677533721325,9,69,
0.004570567696007064,10,76,
0.0036066115756706553,11,83,
0.003015646460330945,12,90,
0.0034311101452905034,13,97,
,14,99,-0.0003086168167336645
0.0027691887716815877,14,104,
0.0027824344192343632,15,111,
0.002590238813246035,16,118,
0.002261017296731449,17,125,
0.020882176256132434,18,132,
0.018703163819204126,19,139,
0.0020256538924044065,20,146,
,21,149,-0.0025666521643121776
0.0025470024006693315,21,153,
0.006751233185385299,22,160,
0.004033968579718295,23,167,
0.006415709154300853,24,174,
0.006916099893800833,25,181,
