train_loss,epoch,step,val_loss
-2.0676959613703954,0,49,
-2.3431297214526854,0,99,
-2.672471025013344,0,149,
-2.827618957784652,0,199,
-2.680229334156767,0,249,
,0,249,-2.5830951858675113
-2.6223285483327294,1,299,
-2.695097740321775,1,349,
-2.8185792964092595,1,399,
-2.942604889325562,1,449,
-2.895450983514667,1,499,
,1,499,-2.5847016683344664
-2.9230032481967845,2,549,
-2.694709514802779,2,599,
-2.9810083418194266,2,649,
-3.1256057296987576,2,699,
-2.9486972277595718,2,749,
,2,749,-2.7312362107279506
-3.122877796387696,3,799,
-2.631635456364746,3,849,
-3.1308613601065263,3,899,
-3.087042365529161,3,949,
-2.8932813471172407,3,999,
,3,999,-2.74347170941948
-3.098051630348091,4,1049,
-2.7969701915460234,4,1099,
-3.1665290014710283,4,1149,
-3.105048396803803,4,1199,
-3.000075824732256,4,1249,
,4,1249,-2.823383651072788
-3.2266585123354927,5,1299,
-2.8656213830500397,5,1349,
-3.018209150979578,5,1399,
-3.1750520771862734,5,1449,
-3.0024630729905004,5,1499,
,5,1499,-2.709675486040757
-3.3015626804743468,6,1549,
-2.4673259789242876,6,1599,
-2.9212429142607297,6,1649,
-3.2094224215683935,6,1699,
-2.9914818431055927,6,1749,
,6,1749,-2.7604744250844404
-3.16757091261431,7,1799,
-2.767602910060008,7,1849,
-3.134282281246236,7,1899,
-3.1535324577706207,7,1949,
-3.051835443535691,7,1999,
,7,1999,-2.76182379235228
-3.190623164113145,8,2049,
-2.8841085692483044,8,2099,
-2.9822893758816016,8,2149,
-3.243098895207287,8,2199,
-3.0338300568469467,8,2249,
,8,2249,-2.7520984618586235
-3.314068007978416,9,2299,
-2.983599983284714,9,2349,
-3.112658514359094,9,2399,
-3.3311423642702795,9,2449,
-3.1133886960720787,9,2499,
,9,2499,-2.728003436539613
