train_loss,epoch,step,val_loss
-1.1500289449387635,0,49,
-1.5635938868356833,0,99,
-1.7948119388769137,0,149,
-1.7619619962806694,0,199,
-0.9902085302605204,0,249,
,0,249,-1.632502849403252
-1.4510034633972115,1,299,
-1.8253279304043022,1,349,
-1.769812834464145,1,399,
-1.8021185161808781,1,449,
-1.0105607248190052,1,499,
,1,499,-1.6958177187269499
-1.4929746682166605,2,549,
-1.8836507906715003,2,599,
-2.041831425886058,2,649,
-1.9112427090429456,2,699,
-1.162615481896168,2,749,
,2,749,-1.5873009273507295
-1.4796912034500438,3,799,
-1.8881056556844453,3,849,
-1.9842353732672733,3,899,
-1.9399374481144211,3,949,
-1.0795601674915003,3,999,
,3,999,-1.6105475538378085
-1.6635828635802437,4,1049,
-1.946154176872428,4,1099,
-2.1057825635269847,4,1149,
-1.7573880420516137,4,1199,
-1.0709880539193801,4,1249,
,4,1249,-1.8405950504905733
-1.53223925593979,5,1299,
-1.970838423001367,5,1349,
-2.085114771538606,5,1399,
-1.963759927931629,5,1449,
-1.2456625104390706,5,1499,
,5,1499,-1.6608592050133206
-1.6067538521460398,6,1549,
-1.9537041062904863,6,1599,
-2.1385738108905072,6,1649,
-2.014475228230869,6,1699,
-1.4391246450298238,6,1749,
,6,1749,-1.5780988897779198
-1.5958548988837398,7,1799,
-1.989279550386506,7,1849,
-2.116047796523166,7,1899,
-2.001217028956928,7,1949,
-1.5832338852149712,7,1999,
,7,1999,-1.6914584114980824
-1.6632413623064068,8,2049,
-1.9586350209718828,8,2099,
-2.15655266916431,8,2149,
-1.9514545513408725,8,2199,
-1.563298453916623,8,2249,
,8,2249,-1.626972285614871
-1.715752031447409,9,2299,
-2.003624966677101,9,2349,
-2.0702639087247183,9,2399,
-2.061180432559088,9,2449,
-1.5041421135077058,9,2499,
,9,2499,-1.7263603189515544
